round=0, currententropyreduction=0.3235, record=2233, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2234, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2235, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2236, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2237, original=0.000624, encryptionratio=0.1000, entropyreductionratio=0.0019, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2238, original=0.000672, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2239, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2240, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2241, original=0.000722, encryptionratio=0.1000, entropyreductionratio=0.0022, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2242, original=0.000842, encryptionratio=0.1000, entropyreductionratio=0.0026, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2243, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2244, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2245, original=0.000528, encryptionratio=0.1000, entropyreductionratio=0.0016, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2246, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2247, original=0.000420, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2248, original=0.000424, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2249, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2250, original=0.000528, encryptionratio=0.1000, entropyreductionratio=0.0016, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2251, original=0.000535, encryptionratio=0.1000, entropyreductionratio=0.0017, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2252, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2253, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2254, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2255, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2256, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2257, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2258, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2259, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2260, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2261, original=0.000672, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2262, original=0.000598, encryptionratio=0.1000, entropyreductionratio=0.0018, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2263, original=0.000722, encryptionratio=0.1000, entropyreductionratio=0.0022, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2264, original=0.000837, encryptionratio=0.1000, entropyreductionratio=0.0026, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2265, original=0.000424, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
